name,price,market_cap,24h_volume
Bitcoin,"$67,606.55","$1,354,998,826,974",0.37%
Ethereum,"$1,983.15","$240,222,636,695",0.86%
Tether,$0.9997,"$183,697,146,233",0.01%
XRP,$1.47,"$89,985,411,506",1.65%
BNB,$619.10,"$84,420,701,305",0.86%
USDC,$0.9999,"$73,613,730,393",0.00%
Solana,$83.11,"$47,228,127,401",0.48%
TRON,$0.2800,"$26,528,161,617",0.06%
Dogecoin,$0.1018,"$17,186,893,339",1.55%
Bitcoin Cash,$562.08,"$11,239,770,734",0.90%
